,namespace,Semana,Número de AAs por turma
750,litteratus,33,1.0
751,litteratus,35,1.0
752,litteratus,37,2.0
753,macvest,26,1.0
754,macvest,27,1.0
755,macvest,32,1.0
756,macvest,33,1.0
757,macvest,36,1.0
758,magister,25,1.0
759,magister,29,1.5
760,magister,30,1.2
761,magister,32,1.625
762,magister,33,1.0
763,maplebearslz,25,2.3
764,maplebearslz,26,1.3333333333333333
765,maplebearslz,30,1.6363636363636365
766,maplebearslz,31,1.2580645161290323
767,maplebearslz,32,2.7083333333333335
768,maplebearslz,33,2.8823529411764706
769,maplebearslz,34,1.92
770,maplebearslz,35,1.0833333333333333
771,maplebearslz,36,1.1538461538461537
772,maplebearslz,37,1.4285714285714286
773,mariliamattoso,25,2.1666666666666665
774,mariliamattoso,26,2.5833333333333335
775,mariliamattoso,27,0.75
776,mariliamattoso,28,1.6666666666666667
777,mariliamattoso,29,1.1666666666666667
778,mariliamattoso,30,2.090909090909091
779,mariliamattoso,31,1.0
780,mariliamattoso,32,2.75
781,mariliamattoso,33,2.6666666666666665
782,mariliamattoso,34,2.3333333333333335
783,mariliamattoso,35,1.875
784,mariliamattoso,36,1.8333333333333333
